	rank	word	count	frequency
533	204	strong	28	0.00022577367801448177
534	204	knowledge	28	0.00022577367801448177
535	204	resolved	28	0.00022577367801448177
536	204	question	28	0.00022577367801448177
537	204	Do	28	0.00022577367801448177
538	204	greatest	28	0.00022577367801448177
539	204	drawing	28	0.00022577367801448177
540	204	countenance	28	0.00022577367801448177
541	204	words	28	0.00022577367801448177
542	204	likely	28	0.00022577367801448177
543	204	repeated	28	0.00022577367801448177
544	204	feeling	28	0.00022577367801448177
545	204	appearance	28	0.00022577367801448177
546	204	Poor	28	0.00022577367801448177
547	204	affair	28	0.00022577367801448177
548	205	produced	27	0.00021771033237110742
549	205	daughters	27	0.00021771033237110742
550	205	handsome	27	0.00021771033237110742
551	205	_her_	27	0.00021771033237110742
552	205	So	27	0.00021771033237110742
553	205	concern	27	0.00021771033237110742
554	205	exactly	27	0.00021771033237110742
555	205	considered	27	0.00021771033237110742
556	205	talking	27	0.00021771033237110742
557	205	anything	27	0.00021771033237110742
558	205	expect	27	0.00021771033237110742
559	205	turned	27	0.00021771033237110742
560	205	understand	27	0.00021771033237110742
561	205	favour	27	0.00021771033237110742
562	205	taste	27	0.00021771033237110742
563	205	declared	27	0.00021771033237110742
564	205	misery	27	0.00021771033237110742
565	205	hearing	27	0.00021771033237110742
566	205	bed	27	0.00021771033237110742
567	205	round	27	0.00021771033237110742
568	205	past	27	0.00021771033237110742
569	205	got	27	0.00021771033237110742
570	205	suffered	27	0.00021771033237110742
571	205	Cleveland	27	0.00021771033237110742
572	205	electronic	27	0.00021771033237110742
573	206	large	26	0.00020964698672773307
574	206	likewise	26	0.00020964698672773307
575	206	occasion	26	0.00020964698672773307
576	206	expectation	26	0.00020964698672773307
577	206	allow	26	0.00020964698672773307
578	206	best	26	0.00020964698672773307
579	206	truth	26	0.00020964698672773307
580	206	acquainted	26	0.00020964698672773307
581	206	assured	26	0.00020964698672773307
582	206	exceedingly	26	0.00020964698672773307
583	206	resolution	26	0.00020964698672773307
584	206	Devonshire	26	0.00020964698672773307
585	206	satisfied	26	0.00020964698672773307
586	206	let	26	0.00020964698672773307
587	206	low	26	0.00020964698672773307
588	206	fear	26	0.00020964698672773307
589	206	distress	26	0.00020964698672773307
590	207	immediate	25	0.00020158364108435872
591	207	Had	25	0.00020158364108435872
592	207	favourite	25	0.00020158364108435872
593	207	latter	25	0.00020158364108435872
594	207	advantage	25	0.00020158364108435872
595	207	why	25	0.00020158364108435872
596	207	otherwise	25	0.00020158364108435872
597	207	things	25	0.00020158364108435872
598	207	fine	25	0.00020158364108435872
599	207	face	25	0.00020158364108435872
600	207	agreeable	25	0.00020158364108435872
601	207	appear	25	0.00020158364108435872
602	207	met	25	0.00020158364108435872
603	207	pain	25	0.00020158364108435872
604	207	event	25	0.00020158364108435872
